	publishing_date	author	tags_archive	title
162	2021-04-15T18:05:51-06:00	Brian X. Chen c.2021 The New York Times Company	['BUSCADORES', 'NAVEGADORES DE INTERNET', 'TECNOLOGÍA', 'THE NEW YORK TIMES COMPANY']	"Si te preocupa la privacidad, es momento de probar un nuevo navegador web		"
280	2013-12-20T10:14:21-06:00	EFE	[]	Un fallo en el navegador de Apple pone en peligro contraseñas almacenadas
165	2020-11-10T19:29:25-06:00	Redacción	[]	WhatsApp Web: 4 útiles extensiones de Chrome para aprovechar más la aplicación
