,publishing_date,author,tags_archive,title
118,2016-05-09T11:56:53-06:00,México / EFE,[],Desmantelan en México sitio web pornográfico que extorsionaba a menores
170,2020-01-15T08:13:00-06:00,BBC News Mundo,[],El preocupante número de adolescentes engañadas para tomarse imágenes sexuales que terminan en sitios de pornografía infantil
421,2019-09-25T09:15:04-06:00,Mynor Toc,[],Fiscalía contra la pornografía infantil efectúa allanamientos en Quiché y Quetzaltenango
434,2018-01-30T10:15:38-06:00,Redacción,[],Capturado en la zona 21 es investigado por caso de pornografía infantil
439,2017-08-08T07:29:33-06:00,Miguel Barrientos,[],Capturados distribuían pornografía infantil en redes sociales
443,2017-06-26T07:13:39-06:00,Geovanni Contreras,[],Guatemala el gran distribuidor de pornografía infantil
459,2016-05-18T07:13:31-06:00,BYRON VÁSQUEZ,[],Joven hizo video de pornografía infantil que subio a internet
166,2020-06-25T05:00:05-06:00,Brenda Martínez,"['ABUSO INFANTIL', 'CORONAVIRUS', 'DELITOS SEXUALES', 'PEDOFILIA', 'PL PLUS', 'PLUS IMPRESO', 'RECOMENDACIÓN DE LOS EDITORES']","Depredadores sexuales infantiles acechan en la web, el riesgo aumenta en confinamiento		"
